[2025-06-30 12:20:48,461] 22 root - INFO - Logging setup completed successfully!
[2025-06-30 12:20:50,725] 97 werkzeug - WARNING -  * Debugger is active!
[2025-06-30 12:20:50,733] 97 werkzeug - INFO -  * Debugger PIN: 118-157-978
[2025-06-30 12:24:04,842] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:04] "GET /predict HTTP/1.1" 200 -
[2025-06-30 12:24:04,898] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:04] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-06-30 12:24:17,126] 53 root - INFO - Data Frame Gathered
[2025-06-30 12:24:17,353] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:17] "POST /predict HTTP/1.1" 200 -
[2025-06-30 12:24:17,368] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:17] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-06-30 12:24:27,812] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:27] "GET /predict HTTP/1.1" 200 -
[2025-06-30 12:24:27,838] 97 werkzeug - INFO - 127.0.0.1 - - [30/Jun/2025 12:24:27] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
